"Order";"Level";"Sorting code";"Parent";"Code";"Description";"Remark"
"1644620";"1";"3280";;"UK027M";"Stoke-on-Trent";
"1644621";"1";"3290";;"UK029M";"Nottingham";
"1644622";"1";"3300";;"UK201M";"Bradford-Leeds";
"1644623";"1";"3310";;"UK501M";"Kirklees";
"1644624";"1";"3320";;"UK506M";"Doncaster";
"1644625";"1";"3330";;"UK510M";"Sunderland";
"1644626";"1";"3340";;"UK513M";"Medway";
"1644627";"1";"3350";;"UK515M";"Brighton and Hove";
"1644628";"1";"3360";;"UK516M";"Plymouth";
"1644629";"1";"3370";;"UK517M";"Swansea";
"1644630";"1";"3380";;"UK518M";"Derby";
"1644631";"1";"3390";;"UK520M";"Southampton";
"1644632";"1";"3400";;"UK528M";"Northampton";
"1644633";"1";"3410";;"UK532M";"Luton";
"1644634";"1";"3420";;"UK535M";"Swindon";
"1644635";"1";"3430";;"UK536M";"Stockton-on-Tees";
"1644636";"1";"3440";;"UK539M";"Bournemouth";
"1644637";"1";"3450";;"UK552M";"Reading";
"1644638";"1";"3460";;"UK553M";"Blackburn - Blackpool - Preston";
"1644639";"1";"3470";;"UK553M_10";"Blackburn - Blackpool - Preston (NUTS 2010)";
"1644640";"1";"3480";;"UK559M";"Middlesbrough";
"1644641";"1";"3490";;"UK566M";"Norwich";
"1644642";"1";"3500";;"UK566M_10";"Norwich (NUTS 2010)";
"1644643";"1";"3510";;"UK568M";"Cheshire West and Chester";
"1644644";"1";"3520";;"UK569M";"Ipswich";
"1644645";"1";"3530";;"UK_NM";"Non-metropolitan regions in United Kingdom";
"1644646";"1";"3540";;"IS_NM";"Non-metropolitan regions in Iceland";
"1644647";"1";"3550";;"LI_NM";"Non-metropolitan regions in Liechtenstein";
"1644648";"1";"3560";;"NO001MC";"Oslo";
"1644649";"1";"3570";;"NO002M";"Bergen";
"1644650";"1";"3580";;"NO004M";"Stavanger";
"1644651";"1";"3590";;"NO_NM";"Non-metropolitan regions in Norway";
"1644652";"1";"3600";;"CH001M";"Zürich";
"1644653";"1";"3610";;"CH002M";"Genève";
"1644654";"1";"3620";;"CH003M";"Basel";
"1644655";"1";"3630";;"CH004MC";"Bern";
"1644656";"1";"3640";;"CH005M";"Lausanne";
"1644657";"1";"3650";;"CH_NM";"Non-metropolitan regions in Switzerland";
"1644658";"1";"3660";;"ME_NM";"Non-metropolitan regions in Montenegro";
"1644659";"1";"3670";;"MK_NM";"Non-metropolitan regions in the former Yugoslav Republic of Macedonia";
"1644660";"1";"3680";;"AL_NM";"Non-metropolitan regions in Albania";
"1644661";"1";"3690";;"RS_NM";"Non-metropolitan regions in Serbia";
"1644662";"1";"3700";;"TR_NM";"Non-metropolitan regions in Turkey";
